InicioPeriodo,FimPeriodo,Segmento,Modalidade,Posicao,InstituicaoFinanceira,TaxaJurosAoMes,TaxaJurosAoAno
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.77
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,ZEMA CFI S/A,0.63,7.78
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.77
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,ZEMA CFI S/A,0.63,7.78
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.76
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.77
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,ZEMA CFI S/A,0.63,7.78
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BOC BRASIL FINANCEIRA,0.68,8.47
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BOC BRASIL FINANCEIRA,0.68,8.47
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.68,8.47
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,1,BOC BRASIL FINANCEIRA,0.68,8.47
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.12,14.35
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.12,14.34
2023-01-23,2023-01-27,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.14,14.54
2023-01-05,2023-01-11,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO SAFRA S.A.,1.15,14.69
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.16,14.86
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.16,14.91
2023-01-13,2023-01-19,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.16,14.9
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.16,14.89
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,14.92
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,14.99
2023-01-12,2023-01-18,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,14.94
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,14.91
2023-01-04,2023-01-10,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,15.04
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,15.01
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.17,15.0
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.18,15.06
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.18,15.08
2023-01-04,2023-01-10,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.18,15.13
2023-01-05,2023-01-11,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO HSBC S.A.,1.18,15.07
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,1,BCO HSBC S.A.,1.18,15.06
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.18,15.13
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.18,15.13
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO DO BRASIL S.A.,1.24,16.0
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO DO BRASIL S.A.,1.24,15.96
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.24,15.95
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.24,15.9
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO DO BRASIL S.A.,1.25,16.0
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.25,16.03
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.26,16.14
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO DO BRASIL S.A.,1.26,16.16
2023-01-12,2023-01-18,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.26,16.26
2023-01-13,2023-01-19,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.29,16.64
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO SAFRA S.A.,1.29,16.65
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO SAFRA S.A.,1.29,16.68
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO DO BRASIL S.A.,1.29,16.67
2023-01-05,2023-01-11,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.3,16.71
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.3,16.71
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO SAFRA S.A.,1.3,16.7
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.3,16.75
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO SAFRA S.A.,1.31,16.91
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.32,17.07
2023-01-23,2023-01-27,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO SAFRA S.A.,1.32,17.08
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.32,16.98
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.32,17.0
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO SAFRA S.A.,1.33,17.13
2023-01-04,2023-01-10,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.33,17.18
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.33,17.14
2023-01-13,2023-01-19,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.33,17.14
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.38,17.86
2023-01-23,2023-01-27,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.38,17.89
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.41,18.35
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,2,BCO DO BRASIL S.A.,1.44,18.66
2023-01-12,2023-01-18,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.44,18.66
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO DO BRASIL S.A.,1.44,18.65
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.46,19.01
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.46,18.94
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.47,19.06
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.47,19.08
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.48,19.3
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.48,19.3
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.48,19.29
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.48,19.28
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.48,19.31
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.49,19.43
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO BS2 S.A.,1.5,19.62
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.5,19.61
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.5,19.62
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.5,19.54
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.5,19.51
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.5,19.56
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO BS2 S.A.,1.5,19.62
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.5,19.52
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BS2 S.A.,1.51,19.7
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.51,19.75
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BS2 S.A.,1.51,19.7
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.51,19.74
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BS2 S.A.,1.51,19.7
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.51,19.64
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.51,19.65
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BS2 S.A.,1.51,19.7
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.51,19.68
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,3,BCO ANDBANK S.A.,1.52,19.8
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.52,19.91
2023-01-13,2023-01-19,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.52,19.91
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.53,19.94
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,2,BCO ANDBANK S.A.,1.53,19.93
2023-01-05,2023-01-11,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.55,20.22
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.56,20.37
2023-01-12,2023-01-18,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.56,20.45
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BS2 S.A.,1.56,20.34
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.58,20.75
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO SANTANDER (BRASIL) S.A.,1.58,20.62
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,3,BCO SANTANDER (BRASIL) S.A.,1.61,21.1
2023-01-04,2023-01-10,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.63,21.45
2023-01-23,2023-01-27,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SANTANDER (BRASIL) S.A.,1.65,21.68
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO SANTANDER (BRASIL) S.A.,1.66,21.79
2023-01-05,2023-01-11,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.72,22.67
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,2,SCFI EFÍ S.A.,1.74,23.02
2023-01-04,2023-01-10,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.74,22.98
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.77,23.46
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.84,24.43
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,4,BCO SAFRA S.A.,1.87,24.85
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.88,25.05
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.92,25.61
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.92,25.68
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.92,25.6
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.93,25.79
2023-01-12,2023-01-18,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.94,25.89
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.94,25.92
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.94,25.99
2023-01-13,2023-01-19,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO BRADESCO S.A.,1.94,25.91
2023-01-16,2023-01-20,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-13,2023-01-19,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO SENFF S.A.,1.95,26.08
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-04,2023-01-10,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-03,2023-01-09,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.95,26.03
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-23,2023-01-27,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO SENFF S.A.,1.95,26.08
2023-01-05,2023-01-11,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-02,2023-01-06,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-17,2023-01-23,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.95,26.08
2023-01-19,2023-01-25,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,5,BCO SENFF S.A.,1.95,26.08
2023-01-18,2023-01-24,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-20,2023-01-26,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO SENFF S.A.,1.95,26.08
2023-01-12,2023-01-18,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO SENFF S.A.,1.95,26.08
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.96,26.23
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.96,26.15
2023-01-23,2023-01-27,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,6,BCO BRADESCO S.A.,1.97,26.34
2023-01-24,2023-01-30,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO DA AMAZONIA S.A.,1.98,26.51
2023-01-25,2023-01-31,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO DA AMAZONIA S.A.,1.98,26.51
2023-01-11,2023-01-17,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO BS2 S.A.,2.05,27.57
2023-01-09,2023-01-13,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO BS2 S.A.,2.05,27.57
2023-01-10,2023-01-16,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO BS2 S.A.,2.05,27.57
2023-01-06,2023-01-12,PESSOA JURÍDICA,Antecipação de faturas de cartão de crédito - Pré-fixado,7,BCO BS2 S.A.,2.08,28.09
